1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,밴헤켄,-1
1,0,0,1,0,0,0,1,1,0,0,2 오지환,2,밴헤켄,-1
0,1,0,0,0,1,0,1,0,0,1,2 오지환,2,밴헤켄,-1
0,0,1,0,1,0,0,1,1,0,0,2 오지환,2,금민철,2
1,0,0,0,1,0,0,1,0,0,1,2 오지환,2,오설리반,-1
1,0,0,1,0,0,0,1,1,0,0,2 오지환,2,오설리반,-1
0,1,0,1,0,0,1,0,0,1,0,2 오지환,2,오설리반,-1
0,0,1,1,0,0,0,1,1,0,0,2 오지환,2,김정훈,-1
0,0,1,0,1,0,1,0,1,0,0,2 오지환,2,박정준,-1
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,신재영,2
1,0,0,0,0,1,0,1,0,1,0,2 오지환,2,신재영,2
0,1,0,0,1,0,0,1,0,0,1,2 오지환,2,신재영,2
0,0,1,0,0,1,0,1,0,1,0,2 오지환,2,박주현,-1
1,0,0,0,1,0,0,1,0,1,0,2 오지환,2,장원삼,2
1,0,0,1,0,0,0,1,0,1,0,2 오지환,2,장원삼,2
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,장원삼,2
0,1,0,0,1,0,1,0,0,0,1,2 오지환,2,백정현,0
0,0,1,0,1,0,0,1,1,0,0,2 오지환,2,김대우,0
1,0,0,0,1,0,0,1,0,1,0,2 오지환,2,페트릭,-1
1,0,0,0,1,0,1,0,1,0,0,2 오지환,2,페트릭,-1
0,1,0,0,0,1,1,0,0,1,0,2 오지환,2,페트릭,-1
0,0,1,1,0,0,0,1,0,1,0,2 오지환,2,박근홍,0
1,0,0,0,1,0,0,1,0,0,1,2 오지환,2,김원중,0
1,0,0,0,0,1,0,1,1,0,0,2 오지환,2,김원중,0
0,1,0,1,0,0,0,1,0,1,0,2 오지환,2,김원중,0
0,0,1,0,1,0,0,1,0,1,0,2 오지환,2,박시영,3
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,박진형,2
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,박진형,2
0,1,0,0,0,1,1,0,0,1,0,2 오지환,2,박진형,2
0,0,1,1,0,0,0,1,0,1,0,2 오지환,2,송승준,2
0,0,1,1,0,0,0,1,1,0,0,2 오지환,2,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,애디튼,-1
1,0,0,0,0,1,0,1,1,0,0,2 오지환,2,애디튼,-1
0,1,0,0,1,0,0,1,0,0,1,2 오지환,2,애디튼,-1
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,장현식,2
1,0,0,1,0,0,0,1,0,1,0,2 오지환,2,장현식,2
0,1,0,0,0,1,1,0,1,0,0,2 오지환,2,장현식,2
0,1,0,0,1,0,1,0,1,0,0,2 오지환,2,임정호,-1
0,0,1,0,1,0,1,0,1,0,0,2 오지환,2,원종현,1
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,해커,1
0,1,0,1,0,0,0,1,1,0,0,2 오지환,2,해커,1
0,1,0,0,0,1,1,0,1,0,0,2 오지환,2,해커,1
0,0,1,0,0,1,1,0,0,1,0,2 오지환,2,임정호,-1
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,맨쉽,1
0,1,0,1,0,0,0,1,1,0,0,2 오지환,2,맨쉽,1
0,1,0,1,0,0,0,1,0,0,1,2 오지환,2,맨쉽,1
0,0,1,1,0,0,0,1,1,0,0,2 오지환,2,윤수호,0
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,정대현,-1
1,0,0,0,1,0,1,0,1,0,0,2 오지환,2,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,2 오지환,2,정대현,-1
0,0,1,0,0,1,1,0,1,0,0,2 오지환,2,엄상백,0
0,0,1,0,1,0,0,1,1,0,0,2 오지환,2,피어밴드,1
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,주권,0
1,0,0,0,0,1,0,1,0,1,0,2 오지환,2,이상화,0
0,1,0,0,0,1,0,1,0,0,1,2 오지환,2,엄상백,0
0,1,0,1,0,0,0,1,1,0,0,2 오지환,2,정성곤,0
0,0,1,1,0,0,0,1,1,0,0,2 오지환,2,심재민,-1
1,0,0,0,1,0,0,1,1,0,0,2 오지환,2,오간도,-1
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,오간도,-1
0,1,0,1,0,0,1,0,1,0,0,2 오지환,2,오간도,-1
0,0,1,0,1,0,0,1,1,0,0,2 오지환,2,오간도,-1
1,0,0,1,0,0,1,0,1,0,0,2 오지환,2,비야누에바,-1
0,1,0,1,0,0,0,1,1,0,0,2 오지환,2,비야누에바,-1
0,1,0,0,0,1,0,1,1,0,0,2 오지환,2,비야누에바,-1
0,0,1,1,0,0,0,1,1,0,0,2 오지환,2,정우람,4
1,0,0,0,1,0,0,1,0,1,0,6 오지환,2,안영명,2
1,0,0,0,1,0,0,1,1,0,0,6 오지환,2,장민재,0
0,1,0,1,0,0,0,1,1,0,0,6 오지환,2,송창식,0
0,0,1,1,0,0,0,1,1,0,0,6 오지환,2,윤규진,2
1,0,0,0,1,0,1,0,1,0,0,9 오지환,2,팻딘,-1
0,1,0,0,1,0,0,1,0,1,0,9 오지환,2,팻딘,-1
0,0,1,0,0,1,0,1,1,0,0,9 오지환,2,팻딘,-1
1,0,0,1,0,0,0,1,1,0,0,9 오지환,2,양현종,1
0,1,0,1,0,0,0,1,1,0,0,9 오지환,2,양현종,1
0,0,1,0,0,1,1,0,1,0,0,9 오지환,2,양현종,1
0,0,1,0,0,1,1,0,0,1,0,9 오지환,2,심동섭,-1
1,0,0,0,0,1,0,1,0,0,1,5 오지환,2,정동현,-1
1,0,0,1,0,0,1,0,1,0,0,5 오지환,2,정동현,-1
0,1,0,0,0,1,1,0,0,1,0,5 오지환,2,홍건희,0
0,1,0,0,0,1,1,0,1,0,0,5 오지환,2,김윤동,2
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,임창용,-1
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,다이아몬드,-1
0,1,0,0,1,0,0,1,0,1,0,5 오지환,2,다이아몬드,-1
0,1,0,0,0,1,0,1,0,1,0,5 오지환,2,임준혁,-1
0,0,1,0,0,1,1,0,1,0,0,5 오지환,2,박정배,2
1,0,0,1,0,0,0,1,0,1,0,5 오지환,2,윤희상,2
0,1,0,1,0,0,0,1,0,1,0,5 오지환,2,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,5 오지환,2,윤희상,2
0,1,0,0,0,1,0,1,0,1,0,5 오지환,2,전유수,0
1,0,0,0,0,1,1,0,1,0,0,5 오지환,2,문승원,0
0,1,0,1,0,0,0,1,0,1,0,5 오지환,2,문승원,0
0,1,0,0,1,0,1,0,0,1,0,5 오지환,2,임준혁,-1
0,0,1,0,0,1,0,1,0,1,0,5 오지환,2,박희수,4
1,0,0,0,0,1,0,1,1,0,0,5 오지환,2,정성곤,0
0,1,0,0,1,0,1,0,1,0,0,5 오지환,2,정성곤,0
0,1,0,0,0,1,0,1,1,0,0,5 오지환,2,정성곤,0
0,0,1,1,0,0,1,0,1,0,0,5 오지환,2,심재민,-1
1,0,0,0,0,1,0,1,1,0,0,5 오지환,2,고영표,-1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,고영표,-1
1,0,0,1,0,0,0,1,0,1,0,5 오지환,2,로치,-1
0,1,0,1,0,0,0,1,0,1,0,5 오지환,2,로치,-1
0,1,0,1,0,0,0,1,0,1,0,5 오지환,2,심재민,-1
0,0,1,0,1,0,1,0,1,0,0,5 오지환,2,심재민,-1
0,0,1,0,0,1,0,1,1,0,0,5 오지환,2,김재윤,1
1,0,0,0,1,0,0,1,0,0,1,5 오지환,2,최금강,-1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,최금강,-1
0,1,0,0,1,0,1,0,1,0,0,5 오지환,2,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,임창민,1
1,0,0,0,0,1,1,0,0,1,0,5 오지환,2,구창모,2
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,장현식,2
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,장현식,2
0,1,0,0,0,1,0,1,1,0,0,5 오지환,2,이형범,2
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,이민호,2
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,이민호,2
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,임정호,-1
0,0,1,0,1,0,1,0,1,0,0,5 오지환,2,원종현,1
1,0,0,0,0,1,0,1,1,0,0,5 오지환,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,장원준,2
0,1,0,0,1,0,1,0,1,0,0,5 오지환,2,장원준,2
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,김강률,2
0,0,1,0,1,0,0,1,1,0,0,6 오지환,2,박치국,2
0,0,1,0,1,0,1,0,0,0,1,9 오지환,2,이현승,2
0,0,1,0,1,0,1,0,0,1,0,9 오지환,2,이현호,0
1,0,0,0,0,1,0,1,0,0,1,5 오지환,2,윤성환,1
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,윤성환,1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,윤성환,1
0,0,1,0,1,0,0,1,0,1,0,5 오지환,2,장필준,1
0,0,1,0,0,1,0,1,0,0,1,5 오지환,2,심창민,-1
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,페트릭,-1
0,1,0,0,0,1,1,0,0,1,0,5 오지환,2,페트릭,-1
0,0,1,0,1,0,1,0,0,0,1,5 오지환,2,김승현,2
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,이승현,2
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,이태양,0
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,이태양,0
0,1,0,0,0,1,1,0,0,0,1,5 오지환,2,송창식,0
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,정우람,4
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,윤규진,2
0,1,0,0,0,1,0,1,0,1,0,5 오지환,2,윤규진,2
0,1,0,1,0,0,1,0,1,0,0,5 오지환,2,송창식,0
0,0,1,0,1,0,1,0,0,1,0,5 오지환,2,권혁,1
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,김진우,-1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,김진우,-1
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,김진우,-1
0,0,1,1,0,0,0,1,0,0,1,5 오지환,2,김윤동,2
1,0,0,1,0,0,1,0,1,0,0,6 오지환,2,팻딘,-1
0,1,0,1,0,0,0,1,0,1,0,6 오지환,2,팻딘,-1
0,1,0,0,0,1,1,0,0,0,1,6 오지환,2,팻딘,-1
1,0,0,0,0,1,0,1,1,0,0,5 오지환,2,임기영,0
1,0,0,0,1,0,1,0,1,0,0,5 오지환,2,임기영,0
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,임기영,0
1,0,0,1,0,0,0,1,1,0,0,6 오지환,2,레일리,1
0,1,0,0,1,0,1,0,1,0,0,6 오지환,2,레일리,1
0,1,0,0,0,1,0,1,1,0,0,6 오지환,2,레일리,1
0,0,1,0,0,1,1,0,1,0,0,6 오지환,2,장시환,0
1,0,0,1,0,0,0,1,1,0,0,6 오지환,2,애디튼,-1
0,1,0,0,1,0,0,1,0,1,0,6 오지환,2,애디튼,-1
0,1,0,0,1,0,0,1,0,1,0,6 오지환,2,애디튼,-1
0,0,1,1,0,0,0,1,0,1,0,6 오지환,2,김유영,-1
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,박진형,2
0,1,0,0,0,1,0,1,0,0,1,5 오지환,2,박진형,2
0,1,0,0,0,1,1,0,0,1,0,5 오지환,2,박진형,2
0,0,1,0,0,1,1,0,1,0,0,5 오지환,2,장시환,0
1,0,0,0,1,0,0,1,1,0,0,6 오지환,2,함덕주,1
0,1,0,1,0,0,0,1,0,1,0,6 오지환,2,함덕주,1
0,0,1,1,0,0,1,0,0,1,0,6 오지환,2,함덕주,1
0,0,1,1,0,0,0,1,1,0,0,6 오지환,2,이용찬,1
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,박치국,2
1,0,0,1,0,0,1,0,1,0,0,5 오지환,2,박치국,2
0,1,0,0,1,0,1,0,0,0,1,5 오지환,2,김강률,2
0,1,0,0,0,1,1,0,1,0,0,5 오지환,2,김강률,2
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,이현승,2
1,0,0,0,1,0,0,1,1,0,0,6 오지환,2,김태훈,2
0,1,0,1,0,0,1,0,0,0,1,6 오지환,2,김태훈,2
0,0,1,1,0,0,0,1,1,0,0,6 오지환,2,김주한,2
0,0,1,0,0,1,0,1,1,0,0,6 오지환,2,박희수,4
1,0,0,1,0,0,1,0,1,0,0,6 오지환,2,문승원,0
0,1,0,1,0,0,0,1,1,0,0,6 오지환,2,문승원,0
0,0,1,0,1,0,0,1,1,0,0,6 오지환,2,김주한,2
0,0,1,0,1,0,0,1,1,0,0,6 오지환,2,박희수,4
1,0,0,0,1,0,0,1,1,0,0,6 오지환,2,박종훈,2
0,1,0,0,0,1,1,0,1,0,0,6 오지환,2,박종훈,2
0,0,1,1,0,0,0,1,1,0,0,6 오지환,2,서진용,2
0,0,1,1,0,0,1,0,0,1,0,6 오지환,2,김주한,2
0,0,1,0,0,1,0,1,1,0,0,6 오지환,2,김상수,0
1,0,0,0,1,0,1,0,1,0,0,5 오지환,2,조상우,4
1,0,0,0,0,1,1,0,1,0,0,5 오지환,2,조상우,4
0,1,0,1,0,0,0,1,0,0,1,5 오지환,2,조상우,4
0,0,1,0,0,1,0,1,0,0,1,5 오지환,2,하영민,0
1,0,0,1,0,0,0,1,0,1,0,5 오지환,2,한현희,2
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,한현희,2
0,1,0,0,0,1,0,1,0,0,1,5 오지환,2,한현희,2
0,0,1,0,1,0,1,0,1,0,0,5 오지환,2,김성민,2
1,0,0,1,0,0,0,1,0,1,0,5 오지환,2,구창모,2
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,구창모,2
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,원종현,1
0,0,1,0,1,0,0,1,0,0,1,5 오지환,2,임창민,1
1,0,0,1,0,0,0,1,0,1,0,5 오지환,2,해커,1
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,해커,1
0,1,0,0,1,0,0,1,0,1,0,5 오지환,2,해커,1
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,이민호,2
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,이재학,2
0,1,0,1,0,0,0,1,1,0,0,5 오지환,2,이재학,2
0,1,0,1,0,0,0,1,0,1,0,5 오지환,2,원종현,1
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,김진성,2
1,0,0,0,1,0,0,1,1,0,0,5 오지환,2,로치,-1
0,1,0,0,0,1,0,1,0,0,1,5 오지환,2,로치,-1
0,1,0,0,1,0,1,0,0,0,1,5 오지환,2,로치,-1
0,0,1,1,0,0,0,1,1,0,0,5 오지환,2,심재민,-1
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,이상화,0
1,0,0,1,0,0,0,1,1,0,0,5 오지환,2,고영표,-1
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,5 오지환,2,고영표,-1
0,0,1,0,0,1,1,0,1,0,0,5 오지환,2,강장산,-1
1,0,0,0,0,1,1,0,1,0,0,5 오지환,2,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,5 오지환,2,박종훈,2
0,0,1,1,0,0,0,1,0,1,0,5 오지환,2,채병용,2
0,0,1,0,0,1,1,0,1,0,0,5 오지환,2,박정배,2
0,0,1,1,0,0,0,1,1,0,0,6 오지환,2,김주한,2
0,1,0,1,0,0,0,1,1,0,0,3 오지환,2,문광은,3
0,1,0,0,0,1,1,0,1,0,0,3 오지환,2,서진용,2
0,0,1,0,1,0,1,0,1,0,0,3 오지환,2,김대유,-1
1,0,0,1,0,0,0,1,1,0,0,7 오지환,2,유희관,2
0,1,0,0,0,1,1,0,1,0,0,7 오지환,2,유희관,2
0,1,0,0,1,0,1,0,0,1,0,7 오지환,2,유희관,2
0,0,1,0,0,1,0,1,1,0,0,7 오지환,2,김강률,2
1,0,0,1,0,0,1,0,1,0,0,7 오지환,2,니퍼트,1
0,1,0,0,1,0,0,1,0,1,0,7 오지환,2,니퍼트,1
0,1,0,1,0,0,0,1,0,0,1,7 오지환,2,니퍼트,1
0,0,1,0,0,1,0,1,0,1,0,7 오지환,2,안규영,-1
1,0,0,0,0,1,1,0,0,1,0,7 오지환,2,함덕주,1
1,0,0,0,0,1,0,1,0,1,0,7 오지환,2,함덕주,1
0,1,0,0,0,1,1,0,1,0,0,7 오지환,2,김강률,2
0,0,1,0,0,1,1,0,0,1,0,7 오지환,2,김승회,2
0,0,1,0,1,0,0,1,1,0,0,7 오지환,2,김성배,-1
0,0,1,0,0,1,0,1,1,0,0,7 오지환,2,안규영,-1
1,0,0,1,0,0,1,0,1,0,0,7 오지환,2,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,7 오지환,2,팻딘,-1
0,0,1,0,1,0,0,1,0,1,0,7 오지환,2,홍건희,0
0,0,1,0,0,1,0,1,1,0,0,7 오지환,2,한승혁,0
1,0,0,1,0,0,1,0,1,0,0,7 오지환,2,정용운,3
1,0,0,0,0,1,1,0,0,1,0,7 오지환,2,정용운,3
0,1,0,1,0,0,0,1,1,0,0,7 오지환,2,고효준,0
0,0,1,0,1,0,0,1,1,0,0,7 오지환,2,심동섭,-1
1,0,0,0,0,1,0,1,0,0,1,7 오지환,2,박진태,-1
1,0,0,0,0,1,0,1,1,0,0,7 오지환,2,우규민,1
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,우규민,1
0,1,0,1,0,0,0,1,0,1,0,7 오지환,2,이승현,2
0,0,1,0,1,0,1,0,0,1,0,7 오지환,2,최충연,0
1,0,0,1,0,0,0,1,0,1,0,6 오지환,2,김대우,0
0,1,0,0,0,1,0,1,1,0,0,6 오지환,2,김대우,0
0,0,1,0,1,0,0,1,0,1,0,6 오지환,2,장원삼,2
0,0,1,0,0,1,1,0,1,0,0,6 오지환,2,김동호,-1
1,0,0,0,1,0,0,1,1,0,0,7 오지환,2,레나도,-1
0,1,0,1,0,0,1,0,1,0,0,7 오지환,2,레나도,-1
0,1,0,0,0,1,1,0,1,0,0,7 오지환,2,레나도,-1
0,0,1,0,1,0,1,0,1,0,0,7 오지환,2,최충연,0
1,0,0,1,0,0,0,1,1,0,0,7 오지환,2,밴헤켄,-1
0,1,0,0,0,1,0,1,0,1,0,7 오지환,2,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,밴헤켄,-1
1,0,0,1,0,0,0,1,1,0,0,7 오지환,2,금민철,2
0,1,0,1,0,0,0,1,0,0,1,7 오지환,2,금민철,2
0,1,0,0,1,0,0,1,1,0,0,7 오지환,2,금민철,2
0,0,1,1,0,0,1,0,0,1,0,7 오지환,2,오주원,2
1,0,0,0,1,0,0,1,1,0,0,7 오지환,2,윤영삼,0
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,윤영삼,0
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,이보근,2
1,0,0,0,1,0,0,1,1,0,0,7 오지환,2,송승준,2
0,1,0,1,0,0,1,0,0,0,1,7 오지환,2,송승준,2
0,1,0,1,0,0,0,1,1,0,0,7 오지환,2,김유영,-1
0,0,1,0,1,0,1,0,1,0,0,7 오지환,2,윤길현,2
0,0,1,1,0,0,0,1,0,1,0,7 오지환,2,배장호,2
0,0,1,0,1,0,0,1,1,0,0,7 오지환,2,배장호,2
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,손승락,1
0,0,1,0,0,1,1,0,0,1,0,7 오지환,2,강동호,-1
1,0,0,1,0,0,0,1,0,0,1,9 오지환,2,정용운,3
0,1,0,0,0,1,1,0,1,0,0,9 오지환,2,정용운,3
0,1,0,0,0,1,0,1,1,0,0,9 오지환,2,한승혁,0
0,0,1,1,0,0,1,0,1,0,0,9 오지환,2,박진태,-1
1,0,0,1,0,0,0,1,0,1,0,9 오지환,2,구창모,2
1,0,0,0,0,1,1,0,1,0,0,9 오지환,2,이민호,2
0,1,0,0,1,0,0,1,1,0,0,9 오지환,2,최금강,-1
0,0,1,0,1,0,0,1,0,0,1,9 오지환,2,정수민,3
1,0,0,0,0,1,0,1,0,1,0,9 오지환,2,윤규진,2
0,1,0,0,0,1,0,1,1,0,0,9 오지환,2,윤규진,2
0,0,1,1,0,0,1,0,0,1,0,9 오지환,2,강승현,-1
1,0,0,0,0,1,1,0,1,0,0,6 오지환,2,김범수,3
1,0,0,0,0,1,1,0,0,0,1,6 오지환,2,김범수,3
0,1,0,1,0,0,0,1,1,0,0,6 오지환,2,심수창,0
1,0,0,1,0,0,0,1,0,1,0,9 오지환,2,다이아몬드,-1
0,1,0,0,0,1,1,0,1,0,0,9 오지환,2,다이아몬드,-1
0,0,1,0,0,1,0,1,1,0,0,9 오지환,2,다이아몬드,-1
1,0,0,0,1,0,1,0,0,1,0,7 오지환,2,문승원,0
0,1,0,1,0,0,0,1,0,1,0,7 오지환,2,문승원,0
0,1,0,1,0,0,0,1,1,0,0,7 오지환,2,김주한,2
0,0,1,1,0,0,0,1,0,1,0,7 오지환,2,문광은,3
0,0,1,0,1,0,0,1,1,0,0,7 오지환,2,전유수,0
1,0,0,1,0,0,0,1,1,0,0,7 오지환,2,윤희상,2
0,1,0,1,0,0,0,1,0,1,0,7 오지환,2,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,7 오지환,2,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,김찬호,-1
1,0,0,0,1,0,1,0,1,0,0,9 오지환,2,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,9 오지환,2,피어밴드,1
0,0,1,0,1,0,1,0,1,0,0,9 오지환,2,피어밴드,1
1,0,0,1,0,0,0,1,0,1,0,9 오지환,2,고영표,-1
0,1,0,0,1,0,1,0,0,1,0,9 오지환,2,고영표,-1
0,1,0,0,0,1,1,0,1,0,0,9 오지환,2,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,9 오지환,2,홍성용,-1
1,0,0,0,0,1,0,1,0,0,1,9 오지환,2,정성곤,0
1,0,0,0,0,1,0,1,0,0,1,9 오지환,2,정성곤,0
0,1,0,0,0,1,0,1,0,1,0,9 오지환,2,주권,0
0,0,1,1,0,0,0,1,1,0,0,9 오지환,2,이상화,0
0,1,0,1,0,0,1,0,1,0,0,9 오지환,2,레나도,-1
0,0,1,0,1,0,0,1,1,0,0,9 오지환,2,최충연,0
0,0,1,0,1,0,0,1,1,0,0,9 오지환,2,최충연,0
0,0,1,0,0,1,1,0,0,1,0,9 오지환,2,최충연,0
1,0,0,0,1,0,0,1,1,0,0,7 오지환,2,김대우,0
0,1,0,1,0,0,0,1,1,0,0,7 오지환,2,장원삼,2
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,우규민,1
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,장필준,1
1,0,0,1,0,0,1,0,1,0,0,6 오지환,2,브리검,1
0,1,0,0,0,1,0,1,1,0,0,6 오지환,2,브리검,1
0,0,1,0,1,0,1,0,1,0,0,6 오지환,2,브리검,1
1,0,0,0,0,1,1,0,1,0,0,7 오지환,2,밴헤켄,-1
0,1,0,0,1,0,1,0,1,0,0,7 오지환,2,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,밴헤켄,-1
0,0,1,0,0,1,0,1,0,0,1,7 오지환,2,김상수,0
1,0,0,0,1,0,1,0,1,0,0,7 오지환,2,최원태,1
0,1,0,0,1,0,0,1,1,0,0,7 오지환,2,최원태,1
0,1,0,0,0,1,0,1,0,1,0,7 오지환,2,최원태,1
0,0,1,1,0,0,0,1,1,0,0,7 오지환,2,한현희,2
1,0,0,1,0,0,1,0,1,0,0,7 오지환,2,김재영,0
0,1,0,0,1,0,0,1,1,0,0,7 오지환,2,김재영,0
1,0,0,0,1,0,0,1,0,1,0,7 오지환,2,송승준,2
1,0,0,0,0,1,0,1,0,1,0,7 오지환,2,송승준,2
0,1,0,0,0,1,0,1,0,0,1,7 오지환,2,송승준,2
0,0,1,0,0,1,1,0,1,0,0,7 오지환,2,배장호,2
1,0,0,1,0,0,0,1,0,1,0,7 오지환,2,박세웅,2
0,1,0,0,1,0,0,1,1,0,0,7 오지환,2,박세웅,2
0,1,0,0,0,1,0,1,1,0,0,7 오지환,2,박세웅,2
0,0,1,0,1,0,1,0,0,0,1,7 오지환,2,손승락,1
1,0,0,0,0,1,0,1,1,0,0,6 오지환,2,김원중,0
0,1,0,0,1,0,0,1,1,0,0,6 오지환,2,김원중,0
0,1,0,1,0,0,0,1,0,1,0,6 오지환,2,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,9 오지환,2,신재영,2
0,1,0,1,0,0,0,1,0,0,1,9 오지환,2,이영준,-1
0,1,0,0,1,0,0,1,1,0,0,9 오지환,2,이보근,2
0,0,1,0,0,1,1,0,0,0,1,9 오지환,2,윤영삼,0
0,0,1,0,1,0,0,1,0,1,0,9 오지환,2,김상수,0
1,0,0,0,0,1,1,0,1,0,0,9 오지환,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,9 오지환,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,9 오지환,2,장원준,2
1,0,0,0,1,0,0,1,1,0,0,9 오지환,2,함덕주,1
0,1,0,1,0,0,0,1,1,0,0,9 오지환,2,김명신,-1
0,1,0,0,0,1,0,1,0,1,0,9 오지환,2,이현승,2
0,0,1,0,1,0,0,1,0,1,0,9 오지환,2,김강률,2
1,0,0,0,1,0,0,1,1,0,0,9 오지환,2,레일리,1
0,1,0,1,0,0,0,1,0,0,1,9 오지환,2,레일리,1
0,0,1,0,1,0,0,1,1,0,0,9 오지환,2,레일리,1
1,0,0,0,1,0,0,1,1,0,0,6 오지환,2,박세웅,2
0,1,0,1,0,0,0,1,1,0,0,6 오지환,2,박세웅,2
0,1,0,0,1,0,1,0,1,0,0,6 오지환,2,김유영,-1
1,0,0,0,1,0,1,0,1,0,0,9 오지환,2,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,9 오지환,2,김사율,-1
0,1,0,0,0,1,0,1,1,0,0,9 오지환,2,심재민,-1
0,0,1,0,0,1,0,1,0,0,1,9 오지환,2,주권,0
0,0,1,1,0,0,0,1,1,0,0,9 오지환,2,이상화,0
0,0,1,0,1,0,1,0,0,0,1,5 오지환,2,엄상백,0
0,0,1,0,0,1,1,0,1,0,0,5 오지환,2,윤근영,0
1,0,0,0,1,0,0,1,1,0,0,9 오지환,2,김재영,0
0,1,0,0,0,1,1,0,0,0,1,9 오지환,2,김재영,0
0,0,1,0,0,1,1,0,1,0,0,9 오지환,2,김재영,0
1,0,0,0,1,0,0,1,0,0,1,9 오지환,2,오간도,-1
0,1,0,0,1,0,1,0,1,0,0,9 오지환,2,오간도,-1
0,1,0,0,0,1,0,1,0,1,0,9 오지환,2,오간도,-1
0,0,1,0,1,0,1,0,0,1,0,9 오지환,2,김민우,3
1,0,0,0,1,0,0,1,0,0,1,6 오지환,2,류희운,3
